"team","date","order","STATUS","SH_SITE_ID","SH_NAME","SH_DESC","SH_LATITUDE","SH_LONGITUDE","time_to_site","miles_to_site"
2,"9/17/2020",2,"Probabilistic","01-SWYR-2.1","Sawyer Creek","off Niagara Falls Blvd",43.07216573,-78.85530373,14,3
2,"9/17/2020",3,"Unassessed","01-GILL-0.3","Gill Creek","10 m above rte 384 bridge.",43.08287,-79.02538,33,3
2,"9/17/2020",4,"Unassessed","01-FISN-2.4","Fish Creek","350 m west of upper mountain rd.",43.15813,-78.9798,46,3
2,"9/17/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
3,"9/15/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
3,"9/15/2020",1,"Probabilistic","01-HAMP-3.6","Hampton Brook","350 m north of keller rd.",42.67,-78.82,5,3
3,"9/15/2020",2,"WAVE","01-PICR-1.3","Pike Creek","170 m east of cr 477.",42.6873,-78.9996,17,3
3,"9/15/2020",3,"Unassessed","01-LSIS-2.4","Little Sister Creek","rte 5.",42.66954,-79.02777,32,3
3,"9/15/2020",4,"Long Term Trend","01-BSIS-2.0","Big Sister Creek","20 m below rt. 5 bridge.",42.65706,-79.03609,37,3
3,"9/15/2020",5,"Unassessed","01-BSIS-8.6","Big Sister Creek","between pontiac and versailles rd. bridge. split in stream.",42.62475,-78.96739,54,3
3,"9/15/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
3,"9/16/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
3,"9/16/2020",1,"Unassessed","01-LERI_T97-4.7","Unnamed tributary to Lake Erie","Rd crossing on Miller Rd.",42.21597473,-79.75892373,11,3
3,"9/16/2020",2,"Long Term Trend","01-CHAU-0.4","Chautauqua Creek","50 m above rt. 5 bridge.",42.33696,-79.60059,13,3
3,"9/16/2020",3,"department interest","01-LCHA-0.1","Little Chautauqua Creek","portage rd; walk down chautaugua to lcha.",42.30861,-79.57465,31,3
3,"9/16/2020",4,"Reference","01-LCWY-4.2","Little Canadaway Creek","ellicott rd.",42.39667,-79.39471,41,3
3,"9/16/2020",5,"Unassessed","01-VBUR-0.4","Van  Buren Bay Creek","150 m below van buren rd. crossing.",42.44742,-79.40407,55,3
3,"9/16/2020",6,"Probabilistic","01-HYCK-1.6","Hyde Creek","Off Urban Rd.",42.48220073,-79.30549973,58,3
3,"9/16/2020",7,"Unassessed","01-WLNT-8.2","Walnut Creek","20 m downstream of rte 39 bridge.",42.46848,-79.18062,63,3
3,"9/16/2020",8,"Long Term Trend","01-SILV-0.3","Silver Creek","100 m below rt. 5 bridge.",42.54595,-79.16826,65,3
3,"9/16/2020",9,"Long Term Trend","01-WLNT-0.1","Walnut Creek","100 m below rt. 5 bridge.",42.54562,-79.16882,67,3
3,"9/16/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
3,"9/17/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
3,"9/17/2020",1,"Probabilistic","01-TONA-27.6","Tonawanda Creek","off Kelkenberg Rd at river bend",43.08064173,-78.57346273,4,3
3,"9/17/2020",2,"department interest","01-TONA-39.8","Tonawanda Creek","Off tonawanda creek rd. Sample as low gradient and only if LG habitat present. Alternate site at 43.083180, -78.499397 if not accessible.",43.08318073,-78.49939673,20,3
3,"9/17/2020",3,"PWL/WAVE","01-WTONA_T21-0.3","Unnamed Tributary To Tonawanda Creek","upstream from housekneeht rd.",43.0295,-78.3938,29,3
3,"9/17/2020",4,"PWL/WAVE","01-MURD-23.1","Murder Creek","bridge on ellinwood rd",42.96180073,-78.35329973,43,3
3,"9/17/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
4,"9/15/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
4,"9/15/2020",1,"department interest","01-CATT-64.4","Cattaraugus Creek","at east arcade rd. bridge.",42.5693,-78.34674,9,3
4,"9/15/2020",2,"department interest","01-MKEY-0.1","Monkey Run Creek","15 m above rte 98 bridge.",42.55507,-78.39228,23,3
4,"9/15/2020",3,"department interest","01-CATT-58.9","Cattaraugus Creek","40 m above water st. bridge.",42.53564,-78.41977,35,3
4,"9/15/2020",4,"department interest","01-CLEA-0.1","Clear Creek","rte 39.",42.53415842,-78.42136874,48,3
4,"9/15/2020",5,"Reference","01-BUFC-37.8","Buffalo Creek","100 m off cr 395.",42.64,-78.462,49,3
4,"9/15/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
4,"9/16/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
4,"9/16/2020",1,"department interest","01-CATT-36.9","Cattaraugus Creek","100 m below scoby hill rd. bridge; 300 m below dam.",42.48417,-78.70084,12,3
4,"9/16/2020",2,"department interest","01-SRIG-0.1","Spring Brook","100 m above mouth; at mill st.",42.48084,-78.68415,24,3
4,"9/16/2020",3,"department interest","01-SRIG-2.9","Spring Brook","70 m above maple ave. bridge.",42.51331,-78.66275,36,3
4,"9/16/2020",4,"department interest","01-CATT-46.9","Cattaraugus Creek","400 m downstream of hake rd. bridge.",42.51262,-78.58609,47,3
4,"9/16/2020",5,"Reference","01-GOON-3.2","Gooseneck Creek","cr 55.",42.453,-78.585,51,3
4,"9/16/2020",6,"department interest","01-ELTO-4.2","Elton Creek","at rte 16 bridge.",42.48902882,-78.48524888,59,3
4,"9/16/2020",7,"department interest","01-CAZE_E-6.3","East Branch Cazenovia Creek","Blakely rd/Blakely corners rd bridge. Sample as low gradient and only if LG habitat present",42.73345773,-78.59690373,62,3
4,"9/16/2020",8,"Long Term Trend","01-CAZE_W-0.6","West Branch Cazenovia Creek","at jewett holmwood rd. bridge.",42.75429,-78.6514,64,3
4,"9/16/2020",9,"Probabilistic","01-SMOK-2.9","Smoke Creek","sample from new development",42.77919273,-78.71674573,68,3
4,"9/16/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
4,"9/17/2020",0,NA,"HOME",NA,NA,42.680982,-73.696676,NA,NA
4,"9/17/2020",1,"Probabilistic","01-TONA-83.3","Tonawanda Creek","100 m above stroh rd. bridge.",42.88,-78.26,6,3
4,"9/17/2020",2,"Probabilistic","01-TONA_T35_1-2.0","Unnamed Trib to Tonawanda Creek","0.2 mi off Dry Bridge Rd.",42.88733573,-78.21768073,15,3
4,"9/17/2020",3,"Probabilistic","01-TONA-62.7","Tonawanda Creek","at abandoned bridge.",43.002696,-78.251967,28,3
4,"9/17/2020",4,"Long Term Trend","01-TONA-65.8","Tonawanda Creek","5 m below lyon st. bridge.",43.00022,-78.19768,40,3
4,"9/17/2020",10,NA,"HOME_for_the_day",NA,NA,NA,NA,NA,NA
